byte,mask_point_position,rho_mask,maskedvalue_point_position,rho_maskedvalue
0,,,31338,0.8284910718926466
1,,,25091,0.8911270973615287
2,45556,0.6300094310205646,45917,0.8417861557223669
3,33063,0.6219747913176117,33420,0.8562006745219386
4,47638,0.6273853084791704,47996,0.7991777989408314
5,41392,0.6361075363545581,41753,0.8650690210340608
6,37227,0.6437099388481242,37617,0.840370066163473
7,35145,0.6351694786122296,35506,0.8501146835784098
8,26816,0.6288833807570287,27177,0.8550562889734968
9,39309,0.6153855495302027,39667,0.8009897062301823
10,28898,0.6399737339498025,29259,0.8808702235354025
11,43474,0.6338410355484371,43835,0.806439459826115
12,20569,0.6174541971938927,20958,0.853079710389852
13,22651,0.6413835747249149,23012,0.8347018111115432
14,49721,0.6276989174488738,50082,0.8847941345270633
15,18486,0.6247829226069358,18844,0.8638779274323448
