variant,params,N,seed,bytes_recovered,GE_masked14
baseline,75288,12000,0,3,92.29
baseline,75288,12000,1,3,41.43
baseline,75288,12000,2,5,37.43
baseline,75288,20000,0,3,77.50
baseline,75288,20000,1,15,0.64
baseline,75288,20000,2,15,5.50
square_only,75288,12000,0,3,73.07
square_only,75288,12000,1,5,21.07
square_only,75288,12000,2,6,73.29
square_only,75288,20000,0,3,41.57
square_only,75288,20000,1,9,18.00
square_only,75288,20000,2,4,57.00
attn_only,80264,12000,0,6,50.29
attn_only,80264,12000,1,8,34.14
attn_only,80264,12000,2,14,1.43
attn_only,80264,20000,0,8,11.50
attn_only,80264,20000,1,12,14.21
attn_only,80264,20000,2,16,0.00
attn_square,80264,12000,0,5,34.00
attn_square,80264,12000,1,5,32.64
attn_square,80264,12000,2,12,10.93
attn_square,80264,20000,0,9,13.14
attn_square,80264,20000,1,5,17.00
attn_square,80264,20000,2,13,8.00
