tokens,params,N,variant,seed,bytes_recovered,GE_masked14
4,80264,20000,attn_only,0,8,11.50
4,80264,20000,attn_only,1,12,14.21
4,80264,20000,attn_only,2,16,0.00
4,80264,20000,attn_square,0,9,13.14
4,80264,20000,attn_square,1,5,17.00
4,80264,20000,attn_square,2,13,8.00
16,92552,20000,attn_only,0,11,2.93
16,92552,20000,attn_only,1,12,7.71
16,92552,20000,attn_only,2,13,9.79
16,92552,20000,attn_square,0,15,2.64
16,92552,20000,attn_square,1,15,0.07
16,92552,20000,attn_square,2,13,1.71
23,99720,20000,attn_only,0,13,1.43
23,99720,20000,attn_only,1,3,19.14
23,99720,20000,attn_only,2,13,1.29
23,99720,20000,attn_square,0,15,0.21
23,99720,20000,attn_square,1,11,3.07
23,99720,20000,attn_square,2,16,0.00
35,111520,20000,attn_only,0,11,5.50
35,111520,20000,attn_only,1,9,6.93
35,111520,20000,attn_only,2,4,40.07
35,111520,20000,attn_square,0,10,13.64
35,111520,20000,attn_square,1,9,15.21
35,111520,20000,attn_square,2,5,31.29
